part,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,difficulty,tags
part5,Taro will confirm the memo for the Kanazawa branch ------- this evening.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Lena will copy the estimate for the Hiroshima branch ------- by Wednesday.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Owen will organize the form for the Nara branch ------- after the call.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Nora will sign the notice for the Kagoshima branch ------- before opening.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Luis will open the plan for the Matsuyama branch ------- later today.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Ivy will close the profile for the Niigata branch ------- next month.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Sota will attach the order for the Mito branch ------- after review.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Amy will save the summary for the Oita branch ------- by five o clock.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Noah will compare the chart for the Takamatsu branch ------- during training.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Mei will collect the list for the Toyama branch ------- before the trip.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,Ryan will deliver the policy for the Akita branch ------- after confirmation.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Yui will translate the request for the Morioka branch ------- by Thursday.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,beginner,adverb|word-form
part5,Evan will schedule the guide for the Fukui branch ------- next quarter.,recent,recently,more recent,recency,B,Recently is an adverb and can modify the verb phrase naturally.,intermediate,adverb|word-form
part5,The sales team moved the sample boxes ------- the office before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The support team moved the sample boxes ------- the meeting room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The design team moved the sample boxes ------- the front desk before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The finance team moved the sample boxes ------- the warehouse before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The marketing team moved the sample boxes ------- the lobby before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The training team moved the sample boxes ------- the training room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The shipping team moved the sample boxes ------- the branch office before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The planning team moved the sample boxes ------- the conference hall before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The product team moved the sample boxes ------- the customer center before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The HR team moved the sample boxes ------- the studio before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The quality team moved the sample boxes ------- the mail room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The research team moved the sample boxes ------- the copy area before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The legal team moved the sample boxes ------- the main hall before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The events team moved the sample boxes ------- the east entrance before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The service team moved the sample boxes ------- the storage room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The booking team moved the sample boxes ------- the break room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The data team moved the sample boxes ------- the manager office before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The online team moved the sample boxes ------- the visitor desk before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The regional team moved the sample boxes ------- the repair desk before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The safety team moved the sample boxes ------- the shipping area before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The customer team moved the sample boxes ------- the north gate before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,The operations team moved the sample boxes ------- the demo room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The admin team moved the sample boxes ------- the service counter before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The media team moved the sample boxes ------- the project room before noon.,to,about,during,with,A,To shows movement toward a destination.,beginner,preposition|meaning
part5,The education team moved the sample boxes ------- the reception area before noon.,to,about,during,with,A,To shows movement toward a destination.,intermediate,preposition|meaning
part5,"If the report for Fukui is ready, the sales manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the proposal for Morioka is ready, the support manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the schedule for Akita is ready, the design manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the invoice for Toyama is ready, the finance manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the contract for Takamatsu is ready, the marketing manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the manual for Oita is ready, the training manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the receipt for Mito is ready, the shipping manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the budget for Niigata is ready, the planning manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the agenda for Matsuyama is ready, the product manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the presentation for Kagoshima is ready, the HR manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the catalog for Nara is ready, the quality manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the survey for Hiroshima is ready, the research manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the memo for Kanazawa is ready, the legal manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the estimate for Kumamoto is ready, the events manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the form for Chiba is ready, the service manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the notice for Naha is ready, the booking manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the plan for Yokohama is ready, the data manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the profile for Sendai is ready, the online manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the order for Kobe is ready, the regional manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the summary for Sapporo is ready, the safety manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the chart for Fukuoka is ready, the customer manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the list for Kyoto is ready, the operations manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the policy for Nagoya is ready, the admin manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,"If the request for Tokyo is ready, the media manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",beginner,conditional|verb-tense
part5,"If the guide for Osaka is ready, the education manager ------- it to the client today.",send,sent,will send,sending,C,"In a first conditional sentence, the result clause commonly uses will plus the base verb.",intermediate,conditional|verb-tense
part5,Evan is responsible ------- the new manual process at the Osaka office.,for,on,with,by,A,The adjective responsible is followed by for.,intermediate,preposition|collocation
part5,Yui is interested ------- the new receipt process at the Tokyo office.,in,for,with,by,A,The adjective interested is followed by in.,beginner,preposition|collocation
part5,Ryan is available ------- the new budget process at the Nagoya office.,for,on,with,by,A,Available for means free for a purpose or event.,intermediate,preposition|collocation
part5,Mei is familiar ------- the new agenda process at the Kyoto office.,with,for,at,by,A,Familiar is commonly followed by with.,beginner,preposition|collocation
part5,Noah is satisfied ------- the new presentation process at the Fukuoka office.,with,for,at,by,A,Satisfied is commonly followed by with.,intermediate,preposition|collocation
part5,Amy is different ------- the new catalog process at the Sapporo office.,from,for,with,by,A,Different from compares two things.,beginner,preposition|collocation
part5,Sota is ready ------- the new survey process at the Kobe office.,for,on,with,by,A,Ready for means prepared for something.,intermediate,preposition|collocation
part5,Ivy is aware ------- the new memo process at the Sendai office.,of,for,with,by,A,Aware is followed by of before a noun.,beginner,preposition|collocation
part5,Luis is similar ------- the new estimate process at the Yokohama office.,to,for,with,by,A,Similar is followed by to.,intermediate,preposition|collocation
part5,Nora is concerned ------- the new form process at the Naha office.,about,for,with,by,A,Concerned about means worried about something.,beginner,preposition|collocation
part5,Owen is responsible ------- the new notice process at the Chiba office.,for,on,with,by,A,The adjective responsible is followed by for.,intermediate,preposition|collocation
part5,Lena is interested ------- the new plan process at the Kumamoto office.,in,for,with,by,A,The adjective interested is followed by in.,beginner,preposition|collocation
part5,Taro is available ------- the new profile process at the Kanazawa office.,for,on,with,by,A,Available for means free for a purpose or event.,intermediate,preposition|collocation
part5,Maya is familiar ------- the new order process at the Hiroshima office.,with,for,at,by,A,Familiar is commonly followed by with.,beginner,preposition|collocation
part5,Hiro is satisfied ------- the new summary process at the Nara office.,with,for,at,by,A,Satisfied is commonly followed by with.,intermediate,preposition|collocation
part5,Leo is different ------- the new chart process at the Kagoshima office.,from,for,with,by,A,Different from compares two things.,beginner,preposition|collocation
part5,Nina is ready ------- the new list process at the Matsuyama office.,for,on,with,by,A,Ready for means prepared for something.,intermediate,preposition|collocation
part5,Emma is aware ------- the new policy process at the Niigata office.,of,for,with,by,A,Aware is followed by of before a noun.,beginner,preposition|collocation
part5,Daniel is similar ------- the new request process at the Mito office.,to,for,with,by,A,Similar is followed by to.,intermediate,preposition|collocation
part5,Sara is concerned ------- the new guide process at the Oita office.,about,for,with,by,A,Concerned about means worried about something.,beginner,preposition|collocation
part5,Yuto is responsible ------- the new report process at the Takamatsu office.,for,on,with,by,A,The adjective responsible is followed by for.,intermediate,preposition|collocation
part5,Rina is interested ------- the new proposal process at the Toyama office.,in,for,with,by,A,The adjective interested is followed by in.,beginner,preposition|collocation
part5,Aiko is available ------- the new schedule process at the Akita office.,for,on,with,by,A,Available for means free for a purpose or event.,intermediate,preposition|collocation
part5,Ken is familiar ------- the new invoice process at the Morioka office.,with,for,at,by,A,Familiar is commonly followed by with.,beginner,preposition|collocation
part5,Mika is satisfied ------- the new contract process at the Fukui office.,with,for,at,by,A,Satisfied is commonly followed by with.,intermediate,preposition|collocation
